Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct) 
11763	0.00003911	-8.0707E-06	-0.000020158	0.000017539	-0.000011659	-0.000064178
11763	-5.1534E-06	5.0462E-07	3.8818E-06	-2.0247E-06	8.2131E-06	0.000045293
11764	0.000050607	-0.000013347	-0.000019796	0.00002377	-0.000011284	-0.00006241
11764	-0.000017124	0.000005897	3.7163E-06	-8.5171E-06	8.2485E-06	0.000045728
11765	0.000062119	-0.000018609	-0.000019442	0.000030186	-0.000010979	-0.000060578
11765	-0.000029143	0.000011319	3.5182E-06	-0.000015111	8.3298E-06	0.000046089
11766	0.000073763	-0.000023933	-0.000019052	0.000036828	-0.000010693	-0.000058695
11766	-0.000041326	0.0000168	3.3274E-06	-0.000021899	8.4247E-06	0.000046382
11767	0.000085594	-0.000029352	-0.000018633	0.000043578	-0.000010379	-0.00005678
11767	-0.000053677	0.000022354	3.1348E-06	-0.000028814	0.000008493	0.000046605
11768	0.000097588	-0.000034853	-0.000018211	0.000050341	-0.00001003	-0.000054838
11768	-0.000066141	0.000027973	0.000002915	-0.000035763	8.5281E-06	0.000046764
11769	0.0001097	-0.000040406	-0.000017804	0.000057063	-9.6551E-06	-0.000052864
11769	-0.000078673	0.000033651	2.6451E-06	-0.000042692	8.5352E-06	0.000046864
11770	0.00012188	-0.000045975	-0.000017429	0.000063843	-9.2771E-06	-0.000050851
11770	-0.000091239	0.000039373	0.000002309	-0.000049671	8.5351E-06	0.000046902
11771	0.00013413	-0.000051556	-0.000017067	0.000070811	-8.9118E-06	-0.000048798
11771	-0.00010385	0.000045127	0.000001927	-0.000056807	8.5411E-06	0.000046868
11772	0.00014648	-0.000057164	-0.000016708	0.000078001	-8.5541E-06	-0.000046706
11772	-0.00011658	0.000050933	1.5056E-06	-0.000064153	8.5503E-06	0.000046761
11773	0.00015897	-0.000062814	-0.000016352	0.000085398	-8.1964E-06	-0.000044577
11773	-0.00012946	0.000056814	0.000001049	-0.000071721	8.5561E-06	0.000046584
11774	0.00017164	-0.000068564	-0.000015996	0.000092753	-7.8154E-06	-0.000042427
11774	-0.00014254	0.000062806	5.6265E-07	-0.000079284	0.00000853	0.000046329
11775	0.00018454	-0.000074436	-0.000015676	0.000099792	-7.3997E-06	-0.000040274
11775	-0.00015575	0.000068916	2.007E-08	-0.00008656	8.4499E-06	0.000045987
11776	0.00019754	-0.000080354	-0.000015398	0.00010673	-0.00000698	-0.000038133
11776	-0.00016898	0.000075085	-5.9108E-07	-0.000093728	8.3425E-06	0.000045544
11777	0.00021057	-0.000086199	-0.000015169	0.00011426	-0.000006602	-0.000036006
11777	-0.00018224	0.000081241	-1.2598E-06	-0.00010144	8.2604E-06	0.000044987
11778	0.00022366	-0.000091972	-0.000014942	0.00012287	-6.2804E-06	-0.000033907
11778	-0.0001956	0.000087355	-1.9451E-06	-0.00011015	8.2242E-06	0.000044311
11779	0.00023705	-0.000097826	-0.000014687	0.00013228	-5.9836E-06	-0.000031861
11779	-0.0002092	0.000093505	-2.6067E-06	-0.00011956	8.1937E-06	0.00004352
11780	0.00025086	-0.00010389	-0.000014382	0.0001419	-5.6807E-06	-0.000029881
11780	-0.0002232	0.000099811	-3.2217E-06	-0.0001292	8.1281E-06	0.000042633
