Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct)
11773	-0.00099579	0.00043059	-8.2323E-06	-0.00068422	0.000034303	0.00014998
11774	0.00095915	-0.00041472	0.000010749	0.00067072	-5.8568E-06	-0.000023855
11774	-0.001022	0.00044047	-8.2858E-06	-0.00071403	0.000033123	0.00014178
11775	0.00098523	-0.00042611	0.000013623	0.00069843	-4.0217E-06	-0.000015043
11775	-0.0010481	0.00045046	-8.2744E-06	-0.00074165	0.000031747	0.00013349
11776	0.0010111	-0.00043738	0.000016451	0.00072594	-2.2793E-06	-6.8694E-06
11776	-0.0010738	0.00046022	-8.1149E-06	-0.00076886	0.000030279	0.00012514
11777	0.0010357	-0.00044753	0.000019161	0.00075648	-6.438E-07	6.4019E-07
11777	-0.0010982	0.00046887	-7.8402E-06	-0.00079937	0.000028867	0.00011674
11778	0.001058	-0.00045589	0.000021728	0.0007915	8.9365E-07	7.4396E-06
11778	-0.0011205	0.00047577	-7.5074E-06	-0.00083466	0.000027554	0.00010833
11779	0.0010787	-0.000463	0.000024114	0.00082862	2.3317E-06	0.000013482
11779	-0.0011407	0.00048126	-7.1756E-06	-0.00087183	0.000026234	0.000099988
11780	0.0010984	-0.00046957	0.000026432	0.00086483	0.000003653	0.000018767
11780	-0.0011596	0.00048615	-6.7353E-06	-0.00090785	0.000024816	0.000091803
11781	0.0011166	-0.00047537	0.00002854	0.00090031	4.8574E-06	0.000023343
11781	-0.0011775	0.0004905	-6.3058E-06	-0.00094339	0.000023329	0.000083798
11782	0.0011322	-0.00047917	0.000030638	0.00093944	5.9609E-06	0.000027172
11782	-0.0011928	0.00049283	-5.7373E-06	-0.00098285	0.000021907	0.000076045
11783	0.0011433	-0.00047932	0.000032557	0.00098641	7.0179E-06	0.00003029
11783	-0.0012033	0.00049139	-5.1936E-06	-0.0010304	0.000020636	0.000068565
11784	0.0011493	-0.0004756	0.000034158	0.001039	8.0689E-06	0.000032863
11784	-0.0012086	0.00048626	-4.9006E-06	-0.0010839	0.000019431	0.000061348
11785	0.0011523	-0.00047013	0.000035246	0.0010892	9.0981E-06	0.000035121
11785	-0.001211	0.00047978	-5.0178E-06	-0.0011352	0.000018111	0.000054376
11786	0.0011553	-0.00046575	0.000036047	0.0011303	0.00001005	0.00003721
